name,size,sku,Dist,WS,MSRP,category_id,description_id,weight
Key to Kelp,2 oz.,KE2OZ,5.24,7.48,14.95,1,6,2
Key to Kelp,8 oz.,KE8OZ,12.94,18.48,36.95,1,6,8
Key to Kelp,16 oz.,KE16OZ,22.04,31.48,62.95,1,6,16
Key to Kelp,32 oz.,KE32OZ,34.64,49.48,98.95,1,6,32
Key to Kelp,20 lb.,KE20LB,208.24,297.48,594.95,1,6,320
Key to Kelp,50 lb.,KE50LB,433.29,618.98,1237.95,1,6,800
Key to Flavor,2 oz.,FL2OZ,3.49,4.98,9.95,1,4,2
Key to Flavor,8 oz.,FL8OZ,9.44,13.48,26.95,1,4,8
Key to Flavor,16 oz.,FL16OZ,15.74,22.48,44.95,1,4,16
Key to Flavor,32 oz.,FL23OZ,23.44,33.48,66.95,1,4,32
Key to Flavor,20 lb.,FL20LB,139.64,199.48,398.95,1,4,320
Key to Flavor,50 lb.,FL50LB,293.29,418.98,837.95,1,4,800
Key to Boost,2 oz.,BO2OZ,4.19,5.98,11.95,1,2,2
Key to Boost,8 oz.,BO8OZ,10.49,14.98,29.95,1,2,8
Key to Boost,16 oz.,BO16OZ,17.84,25.48,50.95,1,2,16
Key to Boost,32 oz.,BO32OZ,28.69,40.98,81.95,1,2,32
Key to Boost,20 lb.,BO20LB,172.54,246.48,492.95,1,2,320
Key to Boost,50 lb.,BO50LB,359.09,512.98,1025.95,1,2,800
Key to Density,2 oz.,DE2OZ,5.24,7.48,14.95,1,3,2
Key to Density,8 oz.,DE8OZ,12.94,18.48,36.95,1,3,8
Key to Density,16 oz.,DE16OZ,22.04,31.48,62.95,1,3,16
Key to Density,32 oz.,DE32OZ,34.64,49.48,98.95,1,3,32
Key to Density,20 lb.,DE20LB,208.24,297.48,594.95,1,3,320
Key to Density,50 lb.,DE50LB,433.29,618.98,1237.95,1,3,800
Key to Uptake,2 oz.,UP2OZ,4.54,6.48,12.95,1,10,2
Key to Uptake,8 oz.,UP8OZ,11.89,16.98,33.95,1,10,8
Key to Uptake,16 oz.,UP16OZ,20.29,28.98,57.95,1,10,16
